title,broadcaster,timeslot,air_day,year,season,status,genre,main_cast,あらすじ
あんぱん,NHK総合,月08:00,月曜日,2025,4月期,airing,朝ドラ,"今田美桜、永瀬ゆずな、加瀬亮、江口のりこ","アンパンマンを生み出したやなせたかしと暢の夫婦をモデルに、生きる意味も失っていた苦悩の日々と、それでも夢を忘れなかった二人の人生。何者でもなかった二人があらゆる荒波を乗り越え、逆転しない正義を体現した『アンパンマン』にたどり着くまでを描き、生きる喜びが全身から湧いてくるような愛と勇気の物語です。"
明日はもっと、いい日になる,フジテレビ,月21:00,月曜日,2025,7月期,airing,"恋愛、ヒューマン","福原遥、林遣都、生田絵梨花、小林きな子",
僕達はまだその星の校則を知らない,関西テレビ・フジテレビ系,月22:00,月曜日,2025,7月期,airing,"学園、ヒューマンドラマ","磯村勇斗、堀田真由、稲垣吾郎、平岩紙、市川実和子","独特の感性を持つがゆえに何事にも臆病で不器用な弁護士が、少子化による共学化で揺れる私立高校にスクールロイヤー(学校弁護士)として派遣される。法律や校則では簡単に解決できない若者たちの青春に、必死に向き合っていく学園ヒューマンドラマ。"
あおぞらビール,NHK総合,月-木22:45,月曜日,2025,6月期（継続中）,airing,"青春、アウトドア","窪塚愛流、藤岡真威人、豊嶋花、南出凌嘉、佐藤江梨子","人生の豊かさは大自然の中、青空の下でキンキンに冷えたビールを飲んだ回数で決まるがモットーの大学生・森川行男や、就活に苦戦している同級生・八木拓馬らがキャンプにハマり、さまざまな出会いの中で自分の未来を考えていく青春アウトドア・ドラマ。"
レプリカ,テレビ東京系,月23:06,月曜日,2025,7月期,airing,"復讐、サスペンス","トリンドル玲奈、宮本茉由、木村了、千賀健永","子供の頃から自分を虐め続け、さらには夫も奪った因縁の相手への復讐を誓い、顔も名前も捨て、伊藤すみれとして生まれ変わり、奪われた人生を奪い返す、痛快無比な整形復讐エンターテインメント。"
誘拐の日,テレビ朝日系,火21:00,火曜日,2025,7月期,airing,"ヒューマンミステリー、コメディ","斎藤工、永尾柚乃、江口洋介、内田有紀、安達祐実","心臓病の娘の手術費用を確保するため誘拐に手を染めた、どこか憎めないマヌケな誘拐犯・新庄政宗と、誘拐されたにもかかわらず記憶喪失になり、新庄を父親だと思い込むIQ140の天才少女・七瀬凛の一風変わった逃避行を描く巻き込まれ型ヒューマンミステリー。"
スティンガース 警視庁おとり捜査検証室,フジテレビ系,火21:00,火曜日,2025,7月期,airing,"刑事、アクション","森川葵、藤井流星、本郷奏多、志田彩良、井内悠陽、杉本哲太、玉山鉄二","警視庁の新設されたスティンガース（＝囮捜査検証室）のリーダー・二階堂民子は、FBIで本格的なスティングオペレーション（＝囮作戦）を学び帰国したトップキャリアの警視。変装や即興演技、心理操作、トリック構成までを自在に操る捜査のプロフェッショナル。"
初恋DOGs,TBS系,火22:00,火曜日,2025,7月期,airing,ラブロマンス,"清原果耶、成田凌、ナ・イヌ、萩原利久、なだぎ武、野呂佳代、深田恭子、岸谷五朗","愛犬たちの初恋をきっかけに始まる、愛を信じないクールな弁護士と、動物しか愛せないこじらせ獣医のラブストーリー。愛犬同士の出会いから始まる人間の恋模様を描く。"
19番目のカルテ,TBS系,日21:00,日曜日,2025,7月期,airing,"医療、ヒューマンドラマ","松本潤、小芝風花、新田真剣佑、清水尋也、岡崎体育、池谷のぶえ、本多力、ファーストサマーウイカ、生瀬勝久、木村佳乃、田中泯","病気を診るだけでなく、心や生活背景をもとに患者にとっての最善を見つけ出し、生き方そのものに手を差し伸べる19番目の新領域・総合診療医を描く新しいヒューマン医療エンターテインメント。"
北くんがかわいすぎて手に余るので、3人でシェアすることにしました。,,火曜日,2025,,,,,
完全不倫-隠す美学、暴く覚悟-,,火曜日,2025,,,,,
私があなたといる理由～グアムを訪れた3組の男女の1週間～,,火曜日,2025,,,,,
トラックガール２,,火曜日,2025,,,,,
シンデレラ クロゼット,,火曜日,2025,,,,,
極道上司に愛されたら,,火曜日,2025,,,,,
大追跡～警視庁SSBC強行犯係,,水曜日,2025,,,,,
ちはやふる-めぐり-,,水曜日,2025,,,,,
最後の鑑定人,,水曜日,2025,,,,,
海老だって鯛が釣りたい,,水曜日,2025,,,,,
雨上がりの僕らについて,,水曜日,2025,,,,,
日本統一 東京編,,水曜日,2025,,,,,
ただの恋愛なんかできっこない,,水曜日,2025,,,,,
しあわせな結婚,,木曜日,2025,,,,,
愛の、がっこう。,,木曜日,2025,,,,,
恋愛禁止,,木曜日,2025,,,,,
やぶさかではございません,,木曜日,2025,,,,,
ロンダリング,,木曜日,2025,,,,,
量産型ルカ-プラモ部員の青き逆襲-,,木曜日,2025,,,,,
もしも世界に「レンアイ」がなかったら,,木曜日,2025,,,,,
世界で一番早い春,,木曜日,2025,,,,,
彩香ちゃんは弘子先輩に恋してる2ndSeason,,木曜日,2025,,,,,
能面検事,,金曜日,2025,,,,,
DOPE 麻薬取締部捜査課,,金曜日,2025,,,,,
奪い愛、真夏,,金曜日,2025,,,,,
40までにしたい10のこと,,金曜日,2025,,,,,
晩酌の流儀４,,金曜日,2025,,,,,
ウルトラマンオメガ,,土曜日,2025,,,,,
放送局占拠,,土曜日,2025,,,,,
ひとりでしにたい,,土曜日,2025,,,,,
リベンジ・スパイ,,土曜日,2025,,,,,
浅草ラスボスおばあちゃん,,土曜日,2025,,,,,
べらぼう〜蔦重栄華乃夢噺〜,,日曜日,2025,,,,,
照子と瑠衣,,日曜日,2025,,,,,
こんばんは、朝山家です。,,日曜日,2025,,,,,
DOCTOR PRICE,,日曜日,2025,,,,,
アストリッドとラファエル 文書係の事件録,,日曜日,2025,,,,,
